Latitude (decimal degrees): 52.207
Longitude (decimal degrees): 20.978
Elevation (m): 110.0
month,year
1,2014
2,2020
3,2014
4,2014
5,2010
6,2019
7,2023
8,2018
9,2014
10,2006
11,2020
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,4.59,94.78,0.0,-0.0,0.0,317.27,4.22,132.0,99650.0
20140101:0100,3.62,94.97,0.0,-0.0,0.0,310.08,3.9,133.0,99631.0
20140101:0200,2.65,95.16,0.0,-0.0,0.0,302.9,3.58,132.0,99591.0
20140101:0300,1.68,95.35,0.0,-0.0,0.0,295.72,3.26,132.0,99561.0
20140101:0400,0.7,95.53,0.0,-0.0,0.0,288.53,2.94,135.0,99492.0
20140101:0500,-0.27,95.72,0.0,-0.0,0.0,281.35,2.62,138.0,99482.0
20140101:0600,-1.24,95.91,0.0,-0.0,0.0,274.17,2.3,138.0,99453.0
20140101:0700,-2.22,96.09,9.0,0.0,9.0,266.98,1.98,141.0,99433.0
20140101:0800,0.32,99.4,85.0,191.71,58.0,286.8,2.55,144.0,99443.0
20140101:0900,1.01,92.05,70.0,4.68,69.0,283.1,3.1,151.0,99423.0
20140101:1000,1.74,92.05,118.0,43.86,107.0,286.8,2.76,155.0,99403.0
20140101:1100,2.04,92.1,138.0,100.06,113.0,305.0,2.41,158.0,99344.0
20140101:1200,2.3,92.1,53.0,0.0,53.0,311.95,2.21,156.0,99344.0
20140101:1300,2.34,92.1,24.0,0.0,24.0,315.05,2.21,154.0,99325.0
20140101:1400,2.11,95.65,1.0,0.0,1.0,312.95,2.07,151.0,99325.0
20140101:1500,1.8,99.4,0.0,-0.0,0.0,308.85,2.21,151.0,99334.0
20140101:1600,1.76,99.4,0.0,-0.0,0.0,314.65,2.28,153.0,99315.0
20140101:1700,1.69,99.4,0.0,-0.0,0.0,310.4,2.34,155.0,99295.0
20140101:1800,1.72,99.4,0.0,-0.0,0.0,313.9,2.34,159.0,99265.0
20140101:1900,1.45,95.65,0.0,-0.0,0.0,304.2,2.48,166.0,99236.0
20140101:2000,1.62,95.65,0.0,-0.0,0.0,311.95,2.48,170.0,99236.0
20140101:2100,1.65,95.65,0.0,-0.0,0.0,307.7,2.41,172.0,99226.0
20140101:2200,1.68,95.65,0.0,-0.0,0.0,307.7,2.41,174.0,99216.0
20140101:2300,1.4,99.35,0.0,-0.0,0.0,291.85,2.34,173.0,99167.0
20140102:0000,1.27,95.65,0.0,-0.0,0.0,292.6,2.34,173.0,99137.0
20140102:0100,1.12,95.65,0.0,-0.0,0.0,290.2,2.34,171.0,99117.0
20140102:0200,0.6,95.65,0.0,-0.0,0.0,268.8,2.41,168.0,99098.0
20140102:0300,0.51,95.65,0.0,-0.0,0.0,278.65,2.41,168.0,99058.0
20140102:0400,0.24,95.6,0.0,-0.0,0.0,270.35,2.41,164.0,99028.0
20140102:0500,-0.14,99.4,0.0,-0.0,0.0,261.65,2.34,159.0,99019.0
20140102:0600,-0.17,99.4,0.0,-0.0,0.0,274.8,2.28,154.0,99009.0
20140102:0700,-0.49,95.6,11.0,0.0,11.0,269.2,2.48,148.0,98979.0
20140102:0800,-0.12,99.4,99.0,324.97,53.0,265.9,2.55,147.0,98989.0
20140102:0900,0.67,95.65,123.0,121.13,97.0,247.5,3.31,150.0,98949.0
20140102:1000,1.36,95.65,151.0,134.85,117.0,257.2,2.9,146.0,98949.0
20140102:1100,1.85,95.65,146.0,119.31,116.0,272.65,3.1,144.0,98870.0
20140102:1200,1.95,92.1,143.0,239.81,92.0,296.3,3.17,141.0,98841.0
20140102:1300,1.94,88.65,64.0,65.02,55.0,306.55,3.24,139.0,98801.0
20140102:1400,1.76,92.05,9.0,0.0,9.0,311.2,2.69,134.0,98811.0
20140102:1500,1.59,92.05,0.0,-0.0,0.0,312.15,2.55,130.0,98811.0
