date,fixing_i_price,fixing_i_volume,fixing_ii_price,fixing_ii_volume
01.07.2024 00:00,534.86,2459.50,529.28,1068.10
01.07.2024 01:00,466.30,2291.50,487.66,1082.10
01.07.2024 02:00,464.30,2136.60,418.95,1070.00
01.07.2024 03:00,467.50,2143.70,385.59,1063.80
01.07.2024 04:00,451.70,2276.00,381.45,1244.00
01.07.2024 05:00,469.81,2518.00,386.04,1766.30
01.07.2024 06:00,600.89,3305.20,619.76,2471.60
01.07.2024 07:00,614.04,3038.30,626.37,1685.80
01.07.2024 08:00,639.00,3457.50,625.29,1988.30
01.07.2024 09:00,597.00,3500.10,623.02,1568.50
01.07.2024 10:00,570.00,3655.80,550.47,1185.80
01.07.2024 11:00,534.86,4033.30,555.93,1190.50
01.07.2024 12:00,509.99,4043.30,507.22,1152.00
01.07.2024 13:00,510.84,4190.70,504.97,1125.70
01.07.2024 14:00,534.88,4202.60,589.91,1138.60
01.07.2024 15:00,534.86,4421.70,536.76,1667.80
01.07.2024 16:00,547.00,4446.90,765.68,1882.50
01.07.2024 17:00,693.00,4481.80,868.91,1933.70
01.07.2024 18:00,940.00,5080.40,1202.67,2228.30
01.07.2024 19:00,1300.00,5236.50,1353.38,2408.30
01.07.2024 20:00,1430.00,5070.80,1458.21,2796.50
01.07.2024 21:00,1100.00,4847.20,1127.48,3023.80
01.07.2024 22:00,800.00,4929.30,826.83,3423.50
01.07.2024 23:00,580.00,4046.70,606.33,2977.90
02.07.2024 00:00,700.00,3485.80,718.90,2071.70
02.07.2024 01:00,627.10,2925.70,630.57,1351.10
02.07.2024 02:00,600.00,2694.60,593.13,1130.90
02.07.2024 03:00,516.00,2932.10,556.34,1093.40
02.07.2024 04:00,504.00,2861.90,524.62,1171.40
02.07.2024 05:00,516.00,3064.20,539.02,1213.00
02.07.2024 06:00,636.00,3505.00,644.37,1570.20
02.07.2024 07:00,660.00,3212.10,459.53,1251.80
02.07.2024 08:00,598.00,3545.80,611.85,882.60
02.07.2024 09:00,460.00,3359.80,462.50,995.90
02.07.2024 10:00,349.99,3673.40,360.04,1090.10
02.07.2024 11:00,339.99,3455.80,322.01,1046.20
02.07.2024 12:00,323.99,3727.80,314.82,956.40
02.07.2024 13:00,319.99,3943.50,305.97,967.10
02.07.2024 14:00,309.99,4050.50,275.53,920.00
02.07.2024 15:00,327.99,3729.30,291.15,1042.80
02.07.2024 16:00,341.99,3725.40,344.23,987.50
02.07.2024 17:00,492.00,3734.60,410.25,836.40
02.07.2024 18:00,839.00,3779.70,755.20,926.10
02.07.2024 19:00,988.20,4700.20,488.26,1810.20
02.07.2024 20:00,1231.70,4566.00,608.92,2225.10
02.07.2024 21:00,943.30,4232.60,486.28,2067.50
02.07.2024 22:00,724.00,4375.80,515.39,2508.40
02.07.2024 23:00,550.00,3705.10,446.37,1607.10
03.07.2024 00:00,520.00,2689.50,450.47,1401.10
03.07.2024 01:00,414.00,2503.30,400.41,1240.90
03.07.2024 02:00,412.00,2595.10,401.18,1280.40
03.07.2024 03:00,407.40,2542.20,399.94,1382.30
03.07.2024 04:00,406.00,2439.60,403.38,1383.10
03.07.2024 05:00,420.00,2651.30,390.43,1238.10
03.07.2024 06:00,550.00,3041.50,457.45,1253.30
03.07.2024 07:00,494.10,2999.90,494.95,1406.40
03.07.2024 08:00,500.00,3109.20,484.89,1307.40
03.07.2024 09:00,449.67,3422.60,402.83,1146.10
03.07.2024 10:00,380.00,3871.70,379.90,1076.10
03.07.2024 11:00,375.00,4212.70,425.47,924.20
03.07.2024 12:00,360.55,4169.90,380.80,976.40
03.07.2024 13:00,367.71,3974.60,376.13,1002.80
03.07.2024 14:00,392.00,3947.00,384.91,1137.20
03.07.2024 15:00,469.00,3982.20,425.52,1206.40
03.07.2024 16:00,492.30,3787.90,352.67,1446.10
03.07.2024 17:00,560.00,3830.40,411.24,1772.10
03.07.2024 18:00,750.00,4438.00,692.03,2415.30
03.07.2024 19:00,988.00,4860.90,823.27,2311.80
03.07.2024 20:00,1240.85,4861.20,974.74,2919.00
03.07.2024 21:00,1030.00,4602.00,805.58,2771.50
03.07.2024 22:00,775.00,4761.60,721.33,3251.20
03.07.2024 23:00,560.00,3881.80,503.85,2660.00
04.07.2024 00:00,535.00,3530.50,535.43,2356.40
04.07.2024 01:00,438.00,3038.80,494.26,1912.00
04.07.2024 02:00,407.69,2847.20,403.06,1968.90
04.07.2024 03:00,402.00,2767.20,395.33,1974.60
04.07.2024 04:00,406.00,2705.40,398.20,1795.30
04.07.2024 05:00,424.69,2821.50,450.29,1692.20
04.07.2024 06:00,546.00,3693.70,616.85,1807.10
04.07.2024 07:00,455.00,3219.90,522.59,1544.10
04.07.2024 08:00,390.00,3023.30,493.11,991.20
04.07.2024 09:00,352.40,3470.90,362.33,973.70
04.07.2024 10:00,275.99,2967.80,275.77,1230.00
04.07.2024 11:00,319.99,3334.00,308.53,1144.10
